Value,Description,DTLS-OK,Reference,Comment
0,hello_request_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
1,client_hello,Y,[RFC-ietf-tls-rfc8446bis-13],
2,server_hello,Y,[RFC-ietf-tls-rfc8446bis-13],
3,hello_verify_request_RESERVED,Y,[RFC6347][RFC-ietf-tls-rfc8446bis-13],"Assigned for interim draft, but the functionality was moved to
        a different message."
4,"new_session_ticket (renamed from ""NewSessionTicket"")",Y,[RFC4507][RFC-ietf-tls-rfc8446bis-13][RFC8447][RFC Errata 7250],
5,end_of_early_data,Y,[RFC-ietf-tls-rfc8446bis-13],
6,hello_retry_request_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],"Assigned for interim draft, but the functionality was moved to an extension."
7,Unassigned,,,
8,encrypted_extensions,Y,[RFC-ietf-tls-rfc8446bis-13],
9,request_connection_id,Y,[RFC9147],
10,new_connection_id,Y,[RFC9147],
11,certificate,Y,[RFC-ietf-tls-rfc8446bis-13],
12,server_key_exchange_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
13,certificate_request,Y,[RFC-ietf-tls-rfc8446bis-13],
14,server_hello_done_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
15,certificate_verify,Y,[RFC-ietf-tls-rfc8446bis-13],
16,client_key_exchange_RESERVED,Y,[RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
17,client_certificate_request,Y,[RFC9261],Used in TLS versions prior to 1.3.
18-19,Unassigned,,,
20,finished,Y,[RFC-ietf-tls-rfc8446bis-13],
21,certificate_url_RESERVED,Y,[RFC6066][RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
22,certificate_status_RESERVED,Y,[RFC6066][RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
23,supplemental_data_RESERVED,Y,[RFC4680][RFC-ietf-tls-rfc8446bis-13],Used in TLS versions prior to 1.3.
24,key_update,Y,[RFC-ietf-tls-rfc8446bis-13],
25,compressed_certificate,Y,[RFC8879],
26,ekt_key,Y,[RFC8870],
27-253,Unassigned,,,
254,message_hash,Y,[RFC-ietf-tls-rfc8446bis-13],
255,Unassigned,,,
